,,,,,,,,
,Single Dry Cooler Rated Conditions,,,,,,,
,Flow Configuration,Air Flow Rate [L/s],Fan Speed [rpm],Glycol Flow Rate [L/s],Rated Heat Load [kW],Air Inlet Temp. [°C],Glycol Inlet Temp [°C],Air Flow Resistance [Pa s/m3]
,Cross-flow,9363,570,6.34,114.19,37.78,49.33,5
,,,,,,,,
,Single Cooling Tower Rated Conditions,,,,,,,
,Water Inlet Temp. [°C],Water Outlet Temp [°C],Ambient Air Wetbulb Temp [°C],Water Flow Rate [GPM],Air Flow Rate [ft3/min],,,
,27.8,23.9,20.6,550,63000,,,
,,,,,,,,
,Cooling Tower Branch Heat Exchanger Rated Conditions,,,,,,,
,Flow Configuration,Water Flow Rate [L/s],Glycol Flow Rate [L/s],Water Inlet Temp. [°C],Water Outlet Temp. [°C],Glycol Inlet Temp. [°C],Glycol Outlet Temp. [°C],
,Counter-flow,28.39,19.75,22.78,26.11,32.22,26.67,
